Фамилия;Имя;Отчество;СНИЛС;Наименование работодателя;ИНН работодателя;Должность;Наименование организации проводившей обучение;ИНН организации проводившей обучение;Номер протокола;Программа обучения;Дата проверки знаний;Результат;Дата внесения в реестр
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
Исангулов;Артемий;Анатольевич;127-127-127 88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;Инженер;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОГА""";6399079997;ОПП 21/23;Оказание первой помощи пострадавшим;2002-05-30T01:00:00;пройден;2002-05-30T01:00:00
